时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),电量(),信号(),版本号()
 11:30:23.505,WT5500002557_UDP, 2024-7-22 10:55:20.397, 0.009, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.230, -32.031, -16.309, -44.434, 35.9, 3.71, -68, 13011,
 11:30:23.517,WT5500002564_UDP, 2024-7-22 10:51:23.728, 0.004, 0.013, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.273, -14.551, 24.316, -24.219, 37.6, 3.66, -71, 13011,
 11:30:23.600,WT5500002557_UDP, 2024-7-22 10:55:20.497, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.263, -32.031, -16.211, -44.629, 35.9, 3.71, -68, 13011,
 11:30:23.616,WT5500002564_UDP, 2024-7-22 10:51:23.828, 0.004, 0.013, 0.988, 0.000, 0.000, 0.000, 0.802, -0.225, -30.284, -14.648, 24.316, -24.316, 37.5, 3.66, -71, 13011,
 11:30:23.700,WT5500002557_UDP, 2024-7-22 10:55:20.597, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.291, -32.031, -16.211, -44.629, 35.9, 3.71, -68, 13011,
 11:30:23.716,WT5500002564_UDP, 2024-7-22 10:51:23.928, 0.003, 0.013, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.295, -14.551, 24.316, -24.219, 37.6, 3.66, -74, 13011,
 11:30:23.800,WT5500002557_UDP, 2024-7-22 10:55:20.697, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.318, -31.934, -16.211, -44.727, 35.9, 3.71, -68, 13011,
 11:30:23.816,WT5500002564_UDP, 2024-7-22 10:51:24.28, 0.004, 0.013, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.300, -14.551, 24.219, -24.121, 37.5, 3.66, -74, 13011,
 11:30:23.899,WT5500002557_UDP, 2024-7-22 10:55:20.797, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.236, -0.472, -115.340, -31.934, -16.211, -44.629, 35.9, 3.71, -68, 13011,
 11:30:23.917,WT5500002564_UDP, 2024-7-22 10:51:24.128, 0.003, 0.014, 0.988, 0.000, 0.000, 0.000, 0.802, -0.225, -30.311, -14.551, 24.219, -24.219, 37.6, 3.66, -74, 13011,
 11:30:23.999,WT5500002557_UDP, 2024-7-22 10:55:20.897, 0.008, 0.022, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.367, -32.031, -16.211, -44.629, 35.9, 3.71, -68, 13011,
 11:30:24.015,WT5500002564_UDP, 2024-7-22 10:51:24.228, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.322, -14.551, 24.219, -24.121, 37.6, 3.66, -74, 13011,
